Accuracy=0.25
Test_data_id=0, Predicted=0
Test_data_id=1, Predicted=0
Test_data_id=2, Predicted=0
Test_data_id=3, Predicted=0
Test_data_id=4, Predicted=0
Test_data_id=5, Predicted=0
Test_data_id=6, Predicted=0
Test_data_id=7, Predicted=0
Test_data_id=8, Predicted=0
Test_data_id=9, Predicted=0
Test_data_id=10, Predicted=0
Test_data_id=11, Predicted=0
Test_data_id=12, Predicted=0
Test_data_id=13, Predicted=0
Test_data_id=14, Predicted=0
Test_data_id=15, Predicted=0
Test_data_id=16, Predicted=0
Test_data_id=17, Predicted=0
Test_data_id=18, Predicted=0
Test_data_id=19, Predicted=0
Test_data_id=20, Predicted=0
Test_data_id=21, Predicted=0
Test_data_id=22, Predicted=0
Test_data_id=23, Predicted=0
